id,nama,email,tanggal_lahir,bulan_lahir,total_belanja,kota
1145,Rogue Oro,rogue.oro@gmail.com,2001-10-13,10,13419559,Akihabara
1146,Levi Ackerman,levi.ackerman@gmail.com,2001-06-01,6,41263494,Beika
1147,Ronove,ronove@gmail.com,2007-08-23,8,49603251,Kyoto
1148,Gajeel Redfox,gajeel.redfox@gmail.com,1998-06-27,6,26024047,Shibuya
1149,Elfman Strauss,elfman.strauss@gmail.com,2004-09-03,9,40966358,Tokyo
1150,Elfman Strauss,elfman.strauss@gmail.com,1997-01-10,1,42919060,Rokkenjima
1151,Wendy Marvell,wendy.marvell@gmail.com,2003-01-08,1,5128971,Sapporo
1152,Armin Arlert,armin.arlert@gmail.com,2006-01-25,1,532932,Sendai
1153,Yamamura Misao,yamamura.misao@gmail.com,1998-07-25,7,30223837,Osaka
1154,Eren Yeager,eren.yeager@gmail.com,1998-05-02,5,15905843,Magnolia
1155,Akiyama Mio,akiyama.mio@gmail.com,1996-12-14,12,10954982,Uji
1156,Jellal Fernandes,jellal.fernandes@gmail.com,2007-04-07,4,21841545,Ikebukuro
1157,Kuroba Kaito,kuroba.kaito@gmail.com,2002-11-12,11,21995378,Uji
1158,Mikasa Ackerman,mikasa.ackerman@gmail.com,2006-01-12,1,30749759,Nagoya
1159,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,1996-11-17,11,45182710,Sapporo
1160,Oumae Kumiko,oumae.kumiko@gmail.com,1999-08-20,8,46967181,Akihabara
1161,Rogue Oro,rogue.oro@gmail.com,2000-09-16,9,29068955,Sapporo
1162,Miyano Shiho,miyano.shiho@gmail.com,2003-07-03,7,31944947,Tokyo
1163,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,2001-02-06,2,23410179,Kobe
1164,Reiner Braun,reiner.braun@gmail.com,2001-05-21,5,34248552,Shibuya
1165,Layla Heartfilia,layla.heartfilia@gmail.com,2001-11-11,11,48330460,Sapporo
1166,Goto Hazuki,goto.hazuki@gmail.com,1997-10-21,10,35144687,Ikebukuro
1167,Lisanna Strauss,lisanna.strauss@gmail.com,2003-03-14,3,47961720,Fukuoka
1168,Zeref Alvarez,zeref.alvarez@gmail.com,2005-03-25,3,41917192,Hakone
1169,Okabe Rintarou,okabe.rintarou@gmail.com,2004-12-16,12,12955113,Osaka
1170,Hakuba Saguru,hakuba.saguru@gmail.com,2000-09-01,9,751382,Uji
1171,Lucy Heartfilia,lucy.heartfilia@gmail.com,2009-05-25,5,14495057,Kyoto
1172,Historia Reiss,historia.reiss@gmail.com,2009-02-08,2,17601534,Kyoto
1173,Hakuba Saguru,hakuba.saguru@gmail.com,2003-06-01,6,48841274,Sapporo
1174,Rogue Oro,rogue.oro@gmail.com,2009-02-16,2,15294270,Shinjuku
1175,Tanaka Asuka,tanaka.asuka@gmail.com,2009-03-10,3,30796331,Sapporo
1176,Ushiromiya Maria,ushiromiya.maria@gmail.com,2005-02-23,2,2945275,Kobe
1177,Ushiromiya Ange,ushiromiya.ange@gmail.com,1995-03-21,3,29800285,Beika
1178,Yamamura Misao,yamamura.misao@gmail.com,2004-06-16,6,37610171,Ikebukuro
1179,Jellal Fernandes,jellal.fernandes@gmail.com,2006-11-15,11,43460859,Yokohama
1180,Sato Miwako,sato.miwako@gmail.com,2002-11-04,11,33863947,Nagoya
1181,Hijiri Kanade,hijiri.kanade@gmail.com,1998-02-16,2,42246845,Yokohama
1182,Sera Masumi,sera.masumi@gmail.com,2001-04-17,4,13945819,Hakone
1183,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2002-10-15,10,10810422,Magnolia
1184,Reiner Braun,reiner.braun@gmail.com,1997-07-16,7,38921178,Rokkenjima
1185,Kousaka Reina,kousaka.reina@gmail.com,2004-03-02,3,25391326,Beika
1186,Ushiromiya Beatrice,ushiromiya.beatrice@gmail.com,2002-12-28,12,42959862,Ikebukuro
1187,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,1995-01-02,1,26589111,Akihabara
1188,Nakano Azusa,nakano.azusa@gmail.com,2000-04-20,4,30283227,Shibuya
1189,Manabe Nodoka,manabe.nodoka@gmail.com,1998-02-11,2,40037728,Magnolia
1190,Suzuki Jun,suzuki.jun@gmail.com,2001-05-15,5,34047968,Akihabara
1191,Levy McGarden,levy.mcgarden@gmail.com,2003-05-04,5,5731432,Magnolia
1192,Kudo Shinichi,kudo.shinichi@gmail.com,2000-01-23,1,27641611,Akihabara
1193,Kiryuu Moeka,kiryuu.moeka@gmail.com,1999-11-26,11,39621076,Tokyo
1194,Farah Nae,farah.nae@gmail.com,2003-11-13,11,8805943,Nagoya
1195,Ushiromiya Maria,ushiromiya.maria@gmail.com,2003-09-03,9,29531858,Ikebukuro
1196,Hakuba Saguru,hakuba.saguru@gmail.com,1999-06-25,6,5639762,Magnolia
1197,Saito Sumire,saito.sumire@gmail.com,1996-04-11,4,26611399,Tokyo
1198,Gaap,gaap@gmail.com,2000-04-18,4,12749783,Shibuya
1199,Bertolt Hoover,bertolt.hoover@gmail.com,2000-02-23,2,1935894,Fukuoka
1200,Makise Kurisu,makise.kurisu@gmail.com,2000-01-13,1,105798,Beika
1201,Eren Yeager,eren.yeager@gmail.com,2008-03-17,3,40588554,Osaka
1202,Gray Fullbuster,gray.fullbuster@gmail.com,2004-07-20,7,12518658,Fukuoka
1203,Levy McGarden,levy.mcgarden@gmail.com,1999-03-25,3,4020194,Fukuoka
1204,Goto Hazuki,goto.hazuki@gmail.com,2002-03-03,3,14739223,Sapporo
1205,Ushiromiya Beatrice,ushiromiya.beatrice@gmail.com,1995-09-22,9,14925665,Sendai
1206,Levi Ackerman,levi.ackerman@gmail.com,2001-08-03,8,40637996,Nagoya
1207,Tainaka Ritsu,tainaka.ritsu@gmail.com,1996-09-05,9,37533380,Shinjuku
1208,Eren Yeager,eren.yeager@gmail.com,1999-03-24,3,11139016,Akihabara
1209,Kiryuu Moeka,kiryuu.moeka@gmail.com,2003-08-22,8,7027463,Tokyo
1210,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,1995-01-02,1,42038250,Ikebukuro
1211,Goto Hazuki,goto.hazuki@gmail.com,2000-11-18,11,42010227,Fukuoka
1212,Virgilia,virgilia@gmail.com,2008-06-06,6,26488469,Beika
1213,Kato Yuko,kato.yuko@gmail.com,1999-09-07,9,23675676,Sapporo
1214,Natsu Dragneel,natsu.dragneel@gmail.com,2004-12-06,12,43163141,Magnolia
1215,Igneel Dragneel,igneel.dragneel@gmail.com,2001-03-02,3,44514185,Sapporo
1216,Ushiromiya Eva,ushiromiya.eva@gmail.com,2002-03-18,3,18966571,Beika
1217,Suzuki Jun,suzuki.jun@gmail.com,2003-03-25,3,16494715,Sendai
1218,Mirajane Strauss,mirajane.strauss@gmail.com,1997-02-15,2,27797689,Ikebukuro
1219,Kato Yuko,kato.yuko@gmail.com,2008-12-11,12,46939003,Shibuya
1220,Miyano Shiho,miyano.shiho@gmail.com,2003-07-02,7,37595154,Sendai
1221,Tanaka Asuka,tanaka.asuka@gmail.com,1995-05-28,5,9823723,Magnolia
1222,Kiryuu Moeka,kiryuu.moeka@gmail.com,2008-01-01,1,21481739,Magnolia
1223,Ushiromiya Battler,ushiromiya.battler@gmail.com,1999-01-18,1,37464632,Hakone
1224,Haibara Ai,haibara.ai@gmail.com,1996-06-18,6,16698450,Nagoya
1225,Gray Fullbuster,gray.fullbuster@gmail.com,2001-07-13,7,33910434,Uji
1226,Nakano Azusa,nakano.azusa@gmail.com,1998-08-16,8,6729199,Magnolia
1227,Miyano Shiho,miyano.shiho@gmail.com,2000-10-16,10,44213689,Ikebukuro
1228,Yamamura Misao,yamamura.misao@gmail.com,2004-07-23,7,7284306,Kobe
1229,Hattori Heiji,hattori.heiji@gmail.com,2001-01-15,1,19269391,Osaka
1230,Amane Suzuha,amane.suzuha@gmail.com,1997-10-06,10,27814934,Hakone
1231,Igneel Dragneel,igneel.dragneel@gmail.com,2001-06-17,6,29781437,Akihabara
1232,Jean Kirstein,jean.kirstein@gmail.com,2009-10-12,10,1313827,Rokkenjima
1233,Kousaka Reina,kousaka.reina@gmail.com,2006-12-17,12,6521991,Fukuoka
1234,Igneel Dragneel,igneel.dragneel@gmail.com,2009-02-12,2,20497489,Osaka
1235,Hijiri Kanade,hijiri.kanade@gmail.com,1997-11-14,11,21900775,Sendai
1236,Hijiri Kanade,hijiri.kanade@gmail.com,2005-11-19,11,20419717,Nagoya
1237,Amane Suzuha,amane.suzuha@gmail.com,2009-01-09,1,8880911,Rokkenjima
1238,Zeke Yeager,zeke.yeager@gmail.com,2008-04-03,4,3042036,Uji
1239,Yokomizo Jugo,yokomizo.jugo@gmail.com,2001-07-13,7,1376342,Shibuya
1240,Lucy Heartfilia,lucy.heartfilia@gmail.com,1999-08-04,8,1610550,Shibuya
1241,Ronove,ronove@gmail.com,2005-03-18,3,5555164,Tokyo
1242,Rogue Oro,rogue.oro@gmail.com,1998-11-07,11,14878164,Kobe
1243,Ushiromiya Rudolf,ushiromiya.rudolf@gmail.com,2007-06-14,6,25871942,Akihabara
1244,Tanaka Asuka,tanaka.asuka@gmail.com,2003-03-26,3,41123688,Fukuoka
1245,Kudo Shinichi,kudo.shinichi@gmail.com,1995-02-25,2,912399,Tokyo
1246,Lisanna Strauss,lisanna.strauss@gmail.com,2004-06-09,6,11988329,Shibuya
1247,Ushiromiya Eva,ushiromiya.eva@gmail.com,2001-06-17,6,14141438,Hakone
1248,Toyama Kazuha,toyama.kazuha@gmail.com,2004-12-23,12,1578436,Akihabara
1249,Armin Arlert,armin.arlert@gmail.com,2004-10-24,10,35421184,Fukuoka
1250,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,2003-01-12,1,24393937,Sendai
1251,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2001-09-16,9,26117338,Shinjuku
1252,Connie Springer,connie.springer@gmail.com,1995-03-12,3,44267249,Fukuoka
1253,Bertolt Hoover,bertolt.hoover@gmail.com,1999-11-02,11,14064960,Akihabara
1254,Kenny Ackerman,kenny.ackerman@gmail.com,1998-01-03,1,38837569,Yokohama
1255,Shiina Mayuri,shiina.mayuri@gmail.com,2004-04-26,4,10444866,Akihabara
1256,Ushiromiya Eva,ushiromiya.eva@gmail.com,2000-05-06,5,48934221,Rokkenjima
1257,Bertolt Hoover,bertolt.hoover@gmail.com,1995-11-27,11,12394181,Kyoto
1258,Urushibara Ruka,urushibara.ruka@gmail.com,2004-08-04,8,4539059,Shinjuku
1259,Mouri Ran,mouri.ran@gmail.com,1995-11-03,11,6419879,Ikebukuro
1260,Kawashima Sapphire,kawashima.sapphire@gmail.com,2009-02-27,2,28200136,Magnolia
1261,Farah Nae,farah.nae@gmail.com,2003-08-24,8,42875766,Rokkenjima
1262,Natsu Dragneel,natsu.dragneel@gmail.com,1998-10-11,10,948546,Beika
1263,Wendy Marvell,wendy.marvell@gmail.com,2008-05-16,5,49449668,Shinjuku
1264,Kudo Shinichi,kudo.shinichi@gmail.com,1999-09-14,9,5543753,Magnolia
1265,Mirajane Strauss,mirajane.strauss@gmail.com,2005-01-26,1,9176981,Hakone
1266,Yokomizo Jugo,yokomizo.jugo@gmail.com,2001-02-01,2,17623499,Nagoya
1267,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,2007-02-09,2,843494,Ikebukuro
1268,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,1995-12-06,12,40206984,Kobe
1269,Akai Shuichi,akai.shuichi@gmail.com,1998-12-23,12,44471325,Shinjuku
1270,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,2000-03-14,3,4512708,Sapporo
1271,Armin Arlert,armin.arlert@gmail.com,1998-08-20,8,36099339,Shibuya
1272,Bertolt Hoover,bertolt.hoover@gmail.com,2001-05-24,5,48020692,Shibuya
1273,Akiyama Mio,akiyama.mio@gmail.com,2008-12-09,12,46950346,Uji
1274,Hirasawa Yui,hirasawa.yui@gmail.com,1997-05-06,5,40483234,Sapporo
1275,Kotobuki Tsumugi,kotobuki.tsumugi@gmail.com,2009-04-04,4,28940141,Hakone
1276,Zeke Yeager,zeke.yeager@gmail.com,2009-02-19,2,14355936,Osaka
1277,Oumae Kumiko,oumae.kumiko@gmail.com,2002-09-26,9,32064787,Fukuoka
1278,Amuro Tooru,amuro.tooru@gmail.com,2003-10-16,10,36676995,Sendai
1279,Goto Hazuki,goto.hazuki@gmail.com,1999-04-05,4,8807550,Tokyo
1280,Ushiromiya Ange,ushiromiya.ange@gmail.com,2004-06-22,6,49405648,Shibuya
1281,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2006-04-08,4,36257918,Tokyo
1282,Kato Yuko,kato.yuko@gmail.com,2003-08-09,8,24958870,Ikebukuro
1283,Tanaka Asuka,tanaka.asuka@gmail.com,1998-05-05,5,17892416,Magnolia
1284,Sato Miwako,sato.miwako@gmail.com,1998-09-21,9,1193440,Osaka
1285,Levi Ackerman,levi.ackerman@gmail.com,2005-03-15,3,916906,Magnolia
1286,Amuro Tooru,amuro.tooru@gmail.com,2003-09-23,9,39223634,Rokkenjima
1287,Saito Sumire,saito.sumire@gmail.com,2000-10-04,10,1579472,Sapporo
1288,Chiba Kazunobu,chiba.kazunobu@gmail.com,2002-02-03,2,2693845,Beika
1289,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,2005-06-01,6,19291961,Beika
1290,Ronove,ronove@gmail.com,2007-08-21,8,16992800,Uji
1291,Farah Nae,farah.nae@gmail.com,1996-10-01,10,32990564,Sendai
1292,Okabe Rintarou,okabe.rintarou@gmail.com,1995-02-02,2,33706266,Beika
1293,Mouri Ran,mouri.ran@gmail.com,2003-01-06,1,33508522,Tokyo
1294,Hattori Heiji,hattori.heiji@gmail.com,2005-11-18,11,37206372,Beika
1295,Shiina Mayuri,shiina.mayuri@gmail.com,2008-08-08,8,10757392,Ikebukuro
1296,Igneel Dragneel,igneel.dragneel@gmail.com,2003-07-14,7,17609915,Shibuya
1297,Kawashima Sapphire,kawashima.sapphire@gmail.com,2008-02-05,2,4171503,Magnolia
1298,Ushiromiya Battler,ushiromiya.battler@gmail.com,2001-12-13,12,28620476,Uji
1299,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,1997-02-04,2,19998287,Sendai
1300,Chiba Kazunobu,chiba.kazunobu@gmail.com,2009-05-20,5,33413128,Fukuoka
1301,Eren Yeager,eren.yeager@gmail.com,1998-11-04,11,4740476,Akihabara
1302,Kasashima Nozomi,kasashima.nozomi@gmail.com,2006-05-06,5,36810765,Uji
1303,Natsu Dragneel,natsu.dragneel@gmail.com,2008-01-22,1,46030596,Tokyo
1304,Sato Miwako,sato.miwako@gmail.com,1999-10-04,10,10572508,Sendai
1305,Urushibara Ruka,urushibara.ruka@gmail.com,1996-09-12,9,20524532,Fukuoka
1306,Kousaka Reina,kousaka.reina@gmail.com,2007-06-01,6,25693363,Sapporo
1307,Kuroba Kaito,kuroba.kaito@gmail.com,1997-02-03,2,43318795,Nagoya
1308,Amuro Tooru,amuro.tooru@gmail.com,2002-10-09,10,37819205,Yokohama
1309,Mikasa Ackerman,mikasa.ackerman@gmail.com,2009-04-28,4,40767140,Uji
1310,Levy McGarden,levy.mcgarden@gmail.com,2005-11-19,11,43701279,Tokyo
1311,Akai Shuichi,akai.shuichi@gmail.com,1995-01-19,1,41152437,Beika
1312,Gray Fullbuster,gray.fullbuster@gmail.com,1996-11-17,11,42496980,Nagoya
1313,Connie Springer,connie.springer@gmail.com,2004-07-02,7,16118698,Fukuoka
1314,Kotobuki Tsumugi,kotobuki.tsumugi@gmail.com,1997-08-10,8,48973906,Magnolia
1315,Yamamura Misao,yamamura.misao@gmail.com,1997-12-26,12,3783049,Hakone
1316,Natsu Dragneel,natsu.dragneel@gmail.com,1995-08-20,8,38894055,Magnolia
1317,Zeke Yeager,zeke.yeager@gmail.com,2002-11-10,11,2268502,Yokohama
1318,Amane Suzuha,amane.suzuha@gmail.com,1998-01-28,1,43097184,Uji
1319,Tanaka Asuka,tanaka.asuka@gmail.com,2000-03-06,3,27542823,Uji
1320,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2000-02-23,2,16771650,Yokohama
1321,Tainaka Ritsu,tainaka.ritsu@gmail.com,1998-06-07,6,2352893,Fukuoka
1322,Levi Ackerman,levi.ackerman@gmail.com,1997-01-12,1,19276101,Sendai
1323,Ushiromiya Maria,ushiromiya.maria@gmail.com,2007-07-09,7,7606691,Yokohama
1324,Annie Leonhart,annie.leonhart@gmail.com,1996-10-28,10,14210725,Ikebukuro
1325,Kasashima Nozomi,kasashima.nozomi@gmail.com,2009-06-23,6,18798537,Nagoya
1326,Lucy Heartfilia,lucy.heartfilia@gmail.com,1998-10-04,10,48601057,Osaka
1327,Edogawa Conan,edogawa.conan@gmail.com,2001-05-17,5,9152798,Yokohama
1328,Haibara Ai,haibara.ai@gmail.com,2007-06-20,6,7535610,Beika
1329,Oumae Kumiko,oumae.kumiko@gmail.com,1996-01-05,1,34305495,Ikebukuro
1330,Ushiromiya Eva,ushiromiya.eva@gmail.com,2008-05-23,5,27321260,Sendai
1331,Tainaka Ritsu,tainaka.ritsu@gmail.com,1996-01-08,1,29591080,Ikebukuro
1332,Mirajane Strauss,mirajane.strauss@gmail.com,2008-03-23,3,39431418,Ikebukuro
1333,Lisanna Strauss,lisanna.strauss@gmail.com,2006-02-20,2,13735773,Kyoto
1334,Hashida Itaru,hashida.itaru@gmail.com,2001-06-12,6,28616816,Osaka
1335,Edogawa Conan,edogawa.conan@gmail.com,2003-02-27,2,36947514,Uji
1336,Levi Ackerman,levi.ackerman@gmail.com,2001-05-26,5,14141246,Hakone
1337,Megure Juzo,megure.juzo@gmail.com,2006-12-06,12,15127058,Fukuoka
1338,Gray Fullbuster,gray.fullbuster@gmail.com,1998-02-22,2,29155186,Sapporo
1339,Armin Arlert,armin.arlert@gmail.com,2005-05-28,5,18400836,Tokyo
1340,Hashida Itaru,hashida.itaru@gmail.com,1997-07-07,7,3049149,Osaka
1341,Reiner Braun,reiner.braun@gmail.com,1999-05-28,5,29232669,Fukuoka
1342,Edogawa Conan,edogawa.conan@gmail.com,2008-01-27,1,16911140,Osaka
1343,Shiina Mayuri,shiina.mayuri@gmail.com,1998-05-23,5,40181164,Hakone
1344,Sato Miwako,sato.miwako@gmail.com,2000-05-24,5,14801340,Sendai
1345,Hange Zoe,hange.zoe@gmail.com,2003-12-04,12,6857481,Yokohama
1346,Hashida Itaru,hashida.itaru@gmail.com,2009-04-16,4,34565385,Kyoto
1347,Nakano Azusa,nakano.azusa@gmail.com,2007-12-09,12,7340500,Shibuya
1348,Ushiromiya Eva,ushiromiya.eva@gmail.com,2004-11-05,11,5116169,Magnolia
1349,Hirasawa Yui,hirasawa.yui@gmail.com,1997-02-04,2,26319923,Shinjuku
1350,Kousaka Reina,kousaka.reina@gmail.com,1996-01-12,1,38339330,Osaka
1351,Reiner Braun,reiner.braun@gmail.com,2005-02-08,2,7631499,Ikebukuro
1352,Historia Reiss,historia.reiss@gmail.com,2000-04-16,4,11362582,Kyoto
1353,Kato Yuko,kato.yuko@gmail.com,2002-06-21,6,13694600,Beika
1354,Amane Suzuha,amane.suzuha@gmail.com,1996-09-04,9,13685116,Kobe
1355,Reiner Braun,reiner.braun@gmail.com,2009-09-21,9,21559449,Osaka
1356,Hange Zoe,hange.zoe@gmail.com,2005-03-17,3,17780939,Beika
1357,Makise Kurisu,makise.kurisu@gmail.com,1996-07-12,7,39480579,Shinjuku
1358,Mikasa Ackerman,mikasa.ackerman@gmail.com,2009-02-24,2,30967214,Ikebukuro
1359,Saito Sumire,saito.sumire@gmail.com,2008-10-01,10,49329019,Kobe
1360,Sera Masumi,sera.masumi@gmail.com,2002-03-07,3,48206015,Tokyo
1361,Akiyama Mio,akiyama.mio@gmail.com,1998-12-23,12,46164772,Yokohama
1362,Akai Shuichi,akai.shuichi@gmail.com,2005-09-13,9,26185274,Yokohama
1363,Tanaka Asuka,tanaka.asuka@gmail.com,2000-04-19,4,577593,Kobe
1364,Kiryuu Moeka,kiryuu.moeka@gmail.com,1995-08-20,8,41251025,Shibuya
1365,Levy McGarden,levy.mcgarden@gmail.com,1999-04-28,4,15209326,Shinjuku
1366,Mirajane Strauss,mirajane.strauss@gmail.com,1998-11-27,11,12138829,Kyoto
1367,Ushiromiya Battler,ushiromiya.battler@gmail.com,1997-04-25,4,20715745,Kobe
1368,Ushiromiya Battler,ushiromiya.battler@gmail.com,1997-02-17,2,41115100,Kyoto
1369,Ronove,ronove@gmail.com,2009-08-21,8,28892011,Kobe
1370,Lucy Heartfilia,lucy.heartfilia@gmail.com,2003-11-10,11,40802305,Kobe
1371,Yoshii Junna,yoshii.junna@gmail.com,2008-08-04,8,49456589,Tokyo
1372,Connie Springer,connie.springer@gmail.com,1999-02-23,2,42334243,Kobe
1373,Reiner Braun,reiner.braun@gmail.com,1999-02-24,2,29865582,Magnolia
1374,Chiba Kazunobu,chiba.kazunobu@gmail.com,1996-10-01,10,37809400,Shinjuku
1375,Farah Nae,farah.nae@gmail.com,2001-07-09,7,48581677,Shinjuku
1376,Zeref Alvarez,zeref.alvarez@gmail.com,2000-02-07,2,41696577,Nagoya
1377,Nakagawa Natsuki,nakagawa.natsuki@gmail.com,2003-08-07,8,27911597,Hakone
1378,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,1998-11-27,11,44592741,Sapporo
1379,Yokomizo Jugo,yokomizo.jugo@gmail.com,2000-01-09,1,26418540,Magnolia
1380,Kawashima Sapphire,kawashima.sapphire@gmail.com,2003-05-13,5,41506155,Sapporo
1381,Kasashima Nozomi,kasashima.nozomi@gmail.com,2009-02-10,2,6438459,Shinjuku
1382,Ushiromiya Battler,ushiromiya.battler@gmail.com,1997-09-09,9,9057492,Sendai
1383,Kudo Shinichi,kudo.shinichi@gmail.com,2009-09-05,9,9268015,Shibuya
1384,Sasha Blouse,sasha.blouse@gmail.com,1999-07-27,7,2238000,Rokkenjima
1385,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,2003-05-07,5,36935630,Ikebukuro
1386,Amuro Tooru,amuro.tooru@gmail.com,1996-07-22,7,14418115,Rokkenjima
1387,Virgilia,virgilia@gmail.com,2004-11-08,11,26606926,Sendai
1388,Kisaki Eri,kisaki.eri@gmail.com,2004-12-22,12,1630007,Osaka
1389,Makise Kurisu,makise.kurisu@gmail.com,1996-12-28,12,49374239,Sapporo
1390,Kiryuu Moeka,kiryuu.moeka@gmail.com,1995-10-15,10,49627551,Kyoto
1391,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,1996-11-17,11,31019795,Osaka
1392,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,2008-05-27,5,15742768,Hakone
1393,Kuroba Kaito,kuroba.kaito@gmail.com,1995-12-15,12,30693389,Uji
1394,Kiryuu Moeka,kiryuu.moeka@gmail.com,2009-06-17,6,30902524,Kobe
1395,Mirajane Strauss,mirajane.strauss@gmail.com,2007-08-06,8,31823437,Sapporo
1396,Tanaka Asuka,tanaka.asuka@gmail.com,1996-01-13,1,26608457,Sendai
1397,Kenny Ackerman,kenny.ackerman@gmail.com,2008-02-07,2,39674115,Akihabara
1398,Kenny Ackerman,kenny.ackerman@gmail.com,1996-02-11,2,25829880,Fukuoka
1399,Rogue Oro,rogue.oro@gmail.com,2009-07-13,7,25281912,Nagoya
1400,Layla Heartfilia,layla.heartfilia@gmail.com,1998-12-19,12,7243312,Magnolia
1401,Erwin Smith,erwin.smith@gmail.com,1996-04-17,4,3986028,Uji
1402,Jean Kirstein,jean.kirstein@gmail.com,1996-02-22,2,6598234,Sapporo
1403,Kuroba Kaito,kuroba.kaito@gmail.com,1995-08-05,8,46592950,Kobe
1404,Gaap,gaap@gmail.com,1995-04-22,4,25248105,Osaka
1405,Kudo Shinichi,kudo.shinichi@gmail.com,1996-11-21,11,39732209,Rokkenjima
1406,Annie Leonhart,annie.leonhart@gmail.com,2009-01-17,1,22065952,Osaka
1407,Mikasa Ackerman,mikasa.ackerman@gmail.com,1997-12-07,12,43967979,Osaka
1408,Megure Juzo,megure.juzo@gmail.com,1999-07-15,7,21884581,Nagoya
1409,Kiryuu Moeka,kiryuu.moeka@gmail.com,2004-12-22,12,29900598,Fukuoka
1410,Zeref Alvarez,zeref.alvarez@gmail.com,2008-04-23,4,22765236,Fukuoka
1411,Lisanna Strauss,lisanna.strauss@gmail.com,1999-07-06,7,38962514,Yokohama
1412,Suzuki Jun,suzuki.jun@gmail.com,2001-08-10,8,37203150,Sendai
1413,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,1998-05-28,5,44538,Fukuoka
1414,Haibara Ai,haibara.ai@gmail.com,2007-11-16,11,2391766,Osaka
1415,Ronove,ronove@gmail.com,2000-11-19,11,20844777,Kobe
1416,Nakagawa Natsuki,nakagawa.natsuki@gmail.com,1998-12-22,12,40083083,Sendai
1417,Ushiromiya Ange,ushiromiya.ange@gmail.com,2005-11-14,11,8911253,Kyoto
1418,Nakagawa Natsuki,nakagawa.natsuki@gmail.com,2002-04-05,4,5993148,Kyoto
1419,Hange Zoe,hange.zoe@gmail.com,2007-08-15,8,20004631,Akihabara
1420,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,1997-09-17,9,42623718,Kobe
1421,Yokomizo Jugo,yokomizo.jugo@gmail.com,2006-04-16,4,34301819,Nagoya
1422,Manabe Nodoka,manabe.nodoka@gmail.com,2007-05-03,5,33589325,Ikebukuro
1423,Urushibara Ruka,urushibara.ruka@gmail.com,1997-02-16,2,13300576,Kobe
1424,Levi Ackerman,levi.ackerman@gmail.com,1995-01-12,1,47111085,Akihabara
1425,Edogawa Conan,edogawa.conan@gmail.com,2006-01-27,1,33071235,Sendai
1426,Saito Sumire,saito.sumire@gmail.com,2000-05-26,5,24785390,Sendai
1427,Hirasawa Yui,hirasawa.yui@gmail.com,1997-05-05,5,19449066,Akihabara
1428,Erwin Smith,erwin.smith@gmail.com,2003-03-04,3,22473825,Tokyo
1429,Makise Kurisu,makise.kurisu@gmail.com,2000-05-01,5,11882772,Sapporo
1430,Bertolt Hoover,bertolt.hoover@gmail.com,1996-08-28,8,40334231,Kyoto
1431,Nakagawa Natsuki,nakagawa.natsuki@gmail.com,2003-05-10,5,8964499,Sapporo
1432,Sting Eucliffe,sting.eucliffe@gmail.com,2007-09-15,9,20599250,Fukuoka
1433,Oumae Kumiko,oumae.kumiko@gmail.com,1995-06-20,6,9787464,Rokkenjima
1434,Juvia Lockser,juvia.lockser@gmail.com,2009-08-21,8,27254670,Shibuya
1435,Akiyama Mio,akiyama.mio@gmail.com,2001-09-17,9,5471289,Nagoya
1436,Ushiromiya Eva,ushiromiya.eva@gmail.com,2005-10-17,10,46283198,Yokohama
1437,Hijiri Kanade,hijiri.kanade@gmail.com,1998-11-01,11,16245966,Shinjuku
1438,Elfman Strauss,elfman.strauss@gmail.com,2007-05-04,5,42393664,Beika
1439,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2005-10-05,10,38935993,Ikebukuro
1440,Natsu Dragneel,natsu.dragneel@gmail.com,2004-01-25,1,37052944,Tokyo
1441,Zeref Alvarez,zeref.alvarez@gmail.com,1997-02-23,2,26384118,Yokohama
1442,Toyama Kazuha,toyama.kazuha@gmail.com,2006-11-25,11,3187521,Kobe
1443,Erwin Smith,erwin.smith@gmail.com,1997-04-22,4,24388908,Sapporo
1444,Kousaka Reina,kousaka.reina@gmail.com,1997-03-06,3,617418,Beika
1445,Goto Hazuki,goto.hazuki@gmail.com,1999-03-19,3,37089635,Fukuoka
1446,Rogue Oro,rogue.oro@gmail.com,2003-01-28,1,24607667,Uji
1447,Hirasawa Yui,hirasawa.yui@gmail.com,1996-03-10,3,5382278,Beika
